,Age,Gender,Marital,Income,Ratio,Education,Profession,Optimism,Objective,Score
143,C,A,B,C,A,B,B,A,A,27
144,B,B,A,A,A,A,A,A,C,20
145,C,B,A,C,B,A,B,A,A,31
146,B,A,A,B,B,B,B,B,C,31
147,A,A,A,A,A,A,B,A,A,24
148,B,A,A,A,A,B,A,A,C,25
149,A,B,A,A,A,A,B,A,C,20
150,B,B,A,A,A,B,B,A,A,33
151,B,B,A,B,A,B,B,A,A,33
152,B,B,A,C,B,C,C,A,A,35
153,C,B,A,C,A,B,B,A,A,34
154,C,A,B,C,B,B,B,A,A,31
155,C,A,B,C,A,B,A,A,A,26
156,C,A,B,C,B,A,B,A,A,30
157,C,A,B,C,C,B,B,A,B,25
158,B,B,A,B,A,B,B,A,A,26
159,C,A,B,C,C,B,C,A,B,25
160,C,A,B,C,A,B,C,A,A,30
161,C,A,B,C,A,C,B,A,A,21
162,B,A,A,C,C,C,C,A,B,35
163,C,A,A,C,C,B,C,A,A,34
164,B,A,A,A,A,B,B,B,A,27
165,A,B,A,A,A,A,A,A,A,27
166,B,B,A,A,A,B,A,A,A,16
167,B,A,A,A,A,B,A,A,C,25
168,B,B,A,A,A,B,A,A,C,21
169,C,A,B,C,C,B,B,A,B,35
170,C,A,B,C,B,B,B,A,A,26
171,B,B,A,B,B,B,B,A,B,32
172,B,A,A,A,A,B,B,A,A,20
173,A,A,A,A,A,A,A,A,A,17
174,C,A,B,B,A,B,A,A,A,18
175,B,B,A,B,B,B,B,A,A,26
176,B,B,A,A,A,B,B,A,C,30
177,B,A,A,A,A,B,B,A,A,26
178,B,B,A,B,A,B,B,A,C,27
179,B,B,A,A,A,B,A,A,C,23
180,A,B,B,A,A,B,A,A,C,22
181,B,A,A,A,A,B,A,A,A,26
182,A,A,B,A,B,B,B,A,B,30
183,C,A,B,C,B,B,B,A,C,23
184,B,A,A,A,A,B,B,B,A,28
185,B,B,A,A,A,B,A,A,A,19
186,C,B,A,C,A,A,B,A,A,25
187,B,B,B,C,B,B,A,A,B,31
188,B,A,A,A,A,B,A,A,A,28
189,B,A,A,B,A,B,A,A,C,21
190,C,B,A,C,A,B,B,A,A,27
191,C,B,A,C,B,B,B,A,A,28
192,B,A,A,B,A,B,A,A,A,21
193,B,A,A,C,C,B,C,A,B,31
194,B,A,A,B,A,B,B,A,A,34
195,C,A,B,C,B,B,A,A,A,34
196,B,B,A,A,A,A,A,A,C,23
197,C,A,B,B,A,B,A,A,A,28
198,C,A,B,C,B,B,B,A,A,31
199,C,A,B,C,A,B,C,A,B,24
200,B,B,A,A,A,B,A,A,C,30
201,B,B,A,A,A,B,A,A,A,28
202,B,B,A,A,A,B,B,A,A,26
203,C,A,B,C,C,B,B,B,A,31
204,C,B,A,C,A,C,B,B,B,26
205,C,A,B,C,C,B,C,A,A,29
206,C,A,B,C,B,B,B,B,B,29
207,C,A,A,C,A,C,A,B,C,21
208,B,B,A,B,A,B,A,A,A,21
209,C,A,B,C,A,B,A,A,A,23
210,B,B,A,B,C,B,B,B,A,29
211,C,A,A,C,A,B,A,A,A,25
212,B,B,A,A,C,B,B,A,C,27
213,C,A,B,C,B,B,B,A,A,21
214,B,A,A,B,A,B,C,B,C,32
215,C,A,B,B,A,B,B,A,C,23
216,C,B,A,B,A,A,A,A,A,20
217,B,A,A,A,C,B,B,B,C,30
218,C,A,A,C,A,C,A,A,A,24
219,B,B,A,B,A,B,A,A,A,29
220,C,B,A,B,A,A,B,B,B,30
221,B,A,A,A,A,B,A,A,A,26
222,B,A,A,A,A,A,A,A,A,24
223,B,B,A,A,A,B,B,A,A,25
224,C,A,B,C,B,B,B,B,A,32
225,B,A,A,B,A,B,A,A,A,23
226,B,A,A,B,A,B,A,A,A,26
227,C,B,B,B,A,B,A,A,A,29
228,C,A,B,C,C,B,C,B,A,22
229,B,B,A,A,C,B,B,A,B,24
230,A,B,A,A,A,A,A,B,C,21
231,B,A,A,A,B,B,B,A,A,26
232,C,A,B,C,C,B,A,A,A,28
233,B,A,A,B,B,B,B,B,A,25
234,C,A,B,C,B,B,B,B,A,25
235,C,A,B,B,B,B,B,B,A,41
236,B,A,A,B,A,B,B,B,A,30
237,C,B,B,C,C,B,B,B,A,32
238,B,B,A,A,A,B,A,A,C,25
239,B,A,A,A,A,B,B,A,A,28
240,B,A,A,B,C,B,B,A,B,28
241,B,B,A,A,A,B,A,B,C,27
242,B,A,B,A,A,B,A,A,C,26
243,A,A,A,A,A,A,B,A,C,26
244,C,B,B,C,A,A,B,A,A,27
245,B,B,A,B,A,B,B,A,A,21
246,B,A,A,B,A,A,A,A,C,29
247,B,B,A,B,B,B,B,A,A,28
248,A,B,A,A,A,A,B,A,C,29
249,B,B,A,A,A,B,B,A,C,29
250,B,A,A,A,A,B,A,A,C,24
251,A,A,A,A,A,A,A,A,C,21
252,C,B,B,B,A,B,B,A,A,26
253,B,B,A,A,A,B,A,A,A,24
254,C,B,B,C,C,C,C,B,C,44
255,B,A,A,A,A,B,B,A,C,32
256,B,A,A,A,A,B,A,A,A,26
257,A,A,A,A,A,A,A,A,A,29
258,B,A,A,A,A,B,B,B,C,28
259,B,B,A,A,A,B,A,B,A,27
260,C,B,A,C,A,C,B,A,A,26
261,C,A,A,B,B,C,A,A,A,30
262,C,A,A,C,A,C,A,A,A,25
263,C,B,B,C,A,B,A,A,A,24
264,B,B,A,A,A,B,A,A,C,23
265,C,B,B,C,A,B,B,A,A,34
266,B,B,A,A,A,B,A,A,A,22
267,C,B,B,C,B,B,B,A,A,34
268,B,A,A,B,A,A,B,A,A,30
269,C,A,B,C,B,B,B,B,A,24
270,B,B,A,A,A,B,A,A,C,22
271,C,A,B,C,A,C,B,A,A,31
272,B,B,A,A,A,A,B,B,A,27
273,B,A,A,B,A,B,B,A,B,30
274,C,A,B,C,B,B,B,A,B,33
275,B,B,A,B,B,B,B,A,A,34
276,B,B,A,A,A,B,B,A,A,29
277,A,A,A,A,A,A,A,A,C,27
278,B,A,A,B,A,B,A,A,C,24
279,B,B,A,C,A,B,B,A,A,34
280,B,B,A,A,A,B,A,A,C,29
281,B,B,A,B,C,C,B,A,A,33
282,B,B,A,A,A,B,B,A,C,35
283,B,B,A,B,A,B,B,A,A,24
284,C,A,A,C,B,B,B,B,A,29
285,B,A,A,A,A,B,B,A,C,26
286,B,A,A,A,A,B,A,A,C,14
287,C,B,A,C,B,B,C,A,A,27
288,B,A,A,C,A,B,C,A,C,24
289,B,A,A,A,A,B,A,A,A,29
290,C,B,A,C,A,C,B,A,A,23
291,B,B,A,A,A,B,A,A,C,26
292,C,A,A,C,B,B,C,B,C,35
293,B,B,A,A,A,B,A,A,C,31
294,C,A,A,C,A,C,C,B,C,25
295,B,B,B,C,B,B,B,A,A,34
296,B,A,A,B,B,B,B,A,A,28
297,B,B,A,A,A,B,B,A,A,18
298,C,B,A,B,B,B,C,A,A,29
299,B,A,A,A,C,A,A,A,A,20
300,C,A,B,C,A,B,B,A,A,23
301,B,B,A,A,B,B,B,B,B,32
302,B,B,A,A,B,B,B,A,C,26
303,B,B,A,B,A,B,A,A,A,30
304,C,A,B,C,A,B,B,A,A,16
305,C,A,B,C,C,B,B,A,A,17
306,C,A,B,B,A,C,B,B,A,37
307,C,B,B,C,A,A,B,A,A,24
308,A,B,A,A,A,A,A,A,C,29
309,C,A,A,C,B,A,B,B,A,31
310,B,B,A,A,B,B,B,A,A,28
311,B,B,A,B,A,B,B,A,A,31
312,B,B,A,B,A,A,B,B,A,39
313,C,A,B,B,B,B,B,A,A,27
314,C,A,B,C,B,B,B,A,A,27
315,C,A,B,C,B,A,B,A,A,31
316,B,B,A,A,A,B,A,A,C,21
317,C,A,A,B,A,A,A,B,A,27
318,C,A,B,C,A,B,B,A,A,36
319,C,A,B,C,A,B,B,A,A,33
320,A,B,A,A,B,A,A,A,C,25
321,C,A,B,C,A,B,A,A,A,19
322,A,A,B,C,A,B,B,A,A,27
323,A,B,A,A,A,B,B,A,C,17
324,C,A,B,C,A,B,A,A,A,25
325,C,A,B,C,C,B,C,A,A,23
326,C,B,B,B,A,A,A,A,A,25
327,C,A,B,C,B,B,B,A,A,27
328,C,A,A,B,A,A,B,A,A,27
329,C,A,B,C,A,B,B,A,A,18
330,C,A,B,C,B,B,A,A,A,21
331,B,A,A,B,B,B,B,A,C,35
332,C,B,A,C,B,B,B,A,A,28
333,B,A,A,B,B,B,B,A,A,31
334,B,A,A,B,B,B,B,A,A,30
335,C,A,B,C,B,B,C,A,C,37
336,C,A,B,B,C,A,B,B,A,33
337,B,B,A,A,A,B,B,A,C,24
338,C,A,B,C,C,B,B,B,A,23
339,C,A,B,C,C,B,B,A,B,27
340,C,A,A,B,A,B,A,A,A,16
341,C,A,B,C,C,B,B,A,A,27
342,C,B,B,C,A,C,B,A,A,28
343,C,A,B,C,C,B,B,A,A,27
344,C,A,B,C,A,B,A,A,A,30
345,A,A,B,B,A,B,B,A,A,26
346,C,A,B,C,B,B,B,A,A,27
347,B,B,A,A,A,B,A,A,C,31
348,C,A,B,C,C,B,C,A,B,32
349,B,A,A,A,A,B,A,A,A,25
350,B,A,A,A,A,B,B,A,A,30
351,B,B,A,A,A,B,A,A,C,28
352,C,A,B,B,B,A,A,A,C,30
353,B,B,A,B,B,B,B,B,A,27
354,B,A,A,A,A,B,A,A,A,22
355,B,A,A,B,A,B,A,A,A,25
356,A,B,A,A,A,A,A,A,A,27
357,B,A,A,A,A,B,B,A,A,25
358,B,A,A,A,A,B,B,B,A,37
359,B,A,A,B,B,B,B,B,A,30
360,A,B,A,A,B,A,A,A,A,32
361,C,A,B,C,C,B,C,B,B,34
362,B,B,A,A,A,B,A,A,C,26
363,B,B,A,A,A,B,A,A,C,20
364,B,B,A,B,A,B,B,A,A,31
365,B,A,A,B,B,B,C,A,B,29
366,A,B,A,A,A,A,B,B,A,32
367,A,A,A,A,A,A,B,B,C,32
368,C,A,B,C,A,B,A,B,A,32
369,B,B,A,A,A,B,A,A,C,23
370,B,B,A,A,A,B,A,A,A,18
371,B,B,A,B,C,B,B,A,C,30
372,C,A,B,C,A,B,B,B,A,31
373,B,B,A,A,B,B,A,B,A,24
374,B,A,A,A,B,B,B,A,C,31
375,B,B,A,A,A,B,A,A,A,28
376,B,B,A,B,A,B,B,A,A,30
377,C,A,A,C,B,B,B,A,A,31
378,B,B,A,B,A,B,B,B,A,27
379,A,B,A,A,A,A,A,A,C,25
380,C,A,B,B,A,B,B,A,A,30
381,B,B,A,A,A,B,A,A,A,25
382,B,A,A,C,C,B,C,A,A,41
383,B,B,A,A,A,B,B,B,C,31
384,C,A,B,A,A,B,B,B,C,34
385,A,A,A,A,A,A,A,A,C,25
386,B,B,A,B,A,B,A,A,A,20
387,B,B,A,A,A,B,A,A,C,24
388,C,B,A,C,C,C,B,A,A,33
389,B,A,A,A,A,B,B,A,C,22
390,B,A,A,B,C,B,C,A,A,33
391,B,B,A,A,C,B,B,A,B,21
392,B,B,A,B,A,B,B,A,A,28
393,B,A,A,B,C,B,B,A,A,20
394,B,A,A,B,B,B,B,B,A,30
395,B,A,A,A,A,B,B,A,A,24
396,B,A,A,B,B,B,B,B,A,27
397,B,A,A,C,A,B,B,A,A,19
398,B,B,A,B,A,B,C,A,A,35
399,B,A,A,A,A,B,B,A,C,24
400,B,A,A,B,A,B,C,B,A,38
401,B,A,A,A,A,B,B,A,C,32
402,B,B,A,A,B,B,C,B,B,35
403,B,B,A,B,A,B,B,A,A,24
404,B,B,A,B,A,B,B,A,C,31
405,B,B,A,A,A,B,B,A,C,26
406,B,A,A,A,A,B,B,A,C,22
407,B,A,A,A,A,B,B,B,C,25
408,B,B,A,A,B,B,B,A,A,32
